SLIT_ID,VB_ID,IFU_FIBER_ID,ROW,COLUMN,X_arcsec,Y_arcsec
2.0,1.0,131,8,10,-1.4167133824,-2.453819558
3.0,1.0,132,8,9,-1.4167133824,-0.8179398527
4.0,1.0,115,7,9,0.0,0.0
5.0,1.0,116,7,8,0.0,1.6358797054
6.0,1.0,133,8,8,-1.4167133824,0.8179398527
7.0,1.0,150,9,9,-2.8334267648,0.0
9.0,1.0,149,9,10,-2.8334267648,-1.6358797054
10.0,1.0,130,8,11,-1.4167133824,-4.0896992634
11.0,1.0,148,9,11,-2.8334267648,-3.2717594107
12.0,1.0,166,10,10,-4.2501401471,-2.453819558
13.0,1.0,167,10,9,-4.2501401471,-0.8179398527
14.0,1.0,168,10,8,-4.2501401471,0.8179398527
16.0,1.0,151,9,8,-2.8334267648,1.6358797054
17.0,1.0,134,8,7,-1.4167133824,2.453819558
18.0,1.0,117,7,7,0.0,3.2717594107
19.0,1.0,135,8,6,-1.4167133824,4.0896992634
20.0,1.0,152,9,7,-2.8334267648,3.2717594107
21.0,1.0,169,10,7,-4.2501401471,2.453819558
22.0,1.0,186,11,8,-5.6668535295,1.6358797054
24.0,1.0,185,11,9,-5.6668535295,0.0
25.0,1.0,184,11,10,-5.6668535295,-1.6358797054
26.0,1.0,183,11,11,-5.6668535295,-3.2717594107
27.0,1.0,165,10,11,-4.2501401471,-4.0896992634
28.0,1.0,147,9,12,-2.8334267648,-4.9076391161
29.0,1.0,129,8,12,-1.4167133824,-5.7255789688
32.0,2.0,118,7,6,0.0,4.9076391161
33.0,2.0,119,7,5,0.0,6.5435188215
34.0,2.0,136,8,5,-1.4167133824,5.7255789688
35.0,2.0,153,9,6,-2.8334267648,4.9076391161
36.0,2.0,170,10,6,-4.2501401471,4.0896992634
37.0,2.0,187,11,7,-5.6668535295,3.2717594107
39.0,2.0,204,12,7,-7.0835669119,2.453819558
40.0,2.0,203,12,8,-7.0835669119,0.8179398527
41.0,2.0,202,12,9,-7.0835669119,-0.8179398527
42.0,2.0,201,12,10,-7.0835669119,-2.453819558
43.0,2.0,200,12,11,-7.0835669119,-4.0896992634
44.0,2.0,182,11,12,-5.6668535295,-4.9076391161
45.0,2.0,164,10,12,-4.2501401471,-5.7255789688
47.0,2.0,146,9,13,-2.8334267648,-6.5435188215
48.0,2.0,128,8,13,-1.4167133824,-7.3614586741
49.0,2.0,145,9,14,-2.8334267648,-8.1793985268
50.0,2.0,163,10,13,-4.2501401471,-7.3614586741
51.0,2.0,181,11,13,-5.6668535295,-6.5435188215
52.0,2.0,199,12,12,-7.0835669119,-5.7255789688
53.0,2.0,219,13,10,-8.5002802943,-1.6358797054
55.0,2.0,220,13,9,-8.5002802943,0.0
56.0,2.0,205,12,6,-7.0835669119,4.0896992634
57.0,2.0,188,11,6,-5.6668535295,4.9076391161
58.0,2.0,171,10,5,-4.2501401471,5.7255789688
59.0,2.0,154,9,5,-2.8334267648,6.5435188215
60.0,2.0,137,8,4,-1.4167133824,7.3614586741
63.0,3.0,8,1,11,8.5002802943,-3.2717594107
64.0,3.0,7,1,12,8.5002802943,-4.9076391161
65.0,3.0,6,1,13,8.5002802943,-6.5435188215
66.0,3.0,23,2,13,7.0835669119,-7.3614586741
67.0,3.0,40,3,14,5.6668535295,-8.1793985268
68.0,3.0,57,4,14,4.2501401471,-8.9973383795
70.0,3.0,74,5,15,2.8334267648,-9.8152782322
71.0,3.0,91,6,15,1.4167133824,-10.6332180849
72.0,3.0,109,7,15,0.0,-9.8152782322
73.0,3.0,127,8,14,-1.4167133824,-8.9973383795
74.0,3.0,144,9,15,-2.8334267648,-9.8152782322
75.0,3.0,162,10,14,-4.2501401471,-8.9973383795
76.0,3.0,180,11,14,-5.6668535295,-8.1793985268
78.0,3.0,198,12,13,-7.0835669119,-7.3614586741
79.0,3.0,216,13,13,-8.5002802943,-6.5435188215
80.0,3.0,217,13,12,-8.5002802943,-4.9076391161
81.0,3.0,218,13,11,-8.5002802943,-3.2717594107
82.0,3.0,197,12,14,-7.0835669119,-8.9973383795
83.0,3.0,179,11,15,-5.6668535295,-9.8152782322
84.0,3.0,161,10,15,-4.2501401471,-10.6332180849
86.0,3.0,143,9,16,-2.8334267648,-11.4511579376
87.0,3.0,126,8,15,-1.4167133824,-10.6332180849
88.0,3.0,108,7,16,0.0,-11.4511579376
89.0,3.0,73,5,16,2.8334267648,-11.4511579376
90.0,3.0,56,4,15,4.2501401471,-10.6332180849
91.0,3.0,39,3,15,5.6668535295,-9.8152782322
92.0,3.0,22,2,14,7.0835669119,-8.9973383795
95.0,4.0,14,1,5,8.5002802943,6.5435188215
96.0,4.0,15,1,4,8.5002802943,8.1793985268
97.0,4.0,33,2,3,7.0835669119,8.9973383795
98.0,4.0,51,3,3,5.6668535295,9.8152782322
99.0,4.0,69,4,2,4.2501401471,10.6332180849
100.0,4.0,86,5,3,2.8334267648,9.8152782322
101.0,4.0,104,6,2,1.4167133824,10.6332180849
102.0,4.0,122,7,2,0.0,11.4511579376
103.0,4.0,139,8,2,-1.4167133824,10.6332180849
105.0,4.0,157,9,2,-2.8334267648,11.4511579376
106.0,4.0,174,10,2,-4.2501401471,10.6332180849
107.0,4.0,191,11,3,-5.6668535295,9.8152782322
108.0,4.0,208,12,3,-7.0835669119,8.9973383795
109.0,4.0,224,13,5,-8.5002802943,6.5435188215
110.0,4.0,225,13,4,-8.5002802943,8.1793985268
111.0,4.0,226,13,3,-8.5002802943,9.8152782322
112.0,4.0,209,12,2,-7.0835669119,10.6332180849
113.0,4.0,192,11,2,-5.6668535295,11.4511579376
115.0,4.0,175,10,1,-4.2501401471,12.2690977902
116.0,4.0,158,9,1,-2.8334267648,13.0870376429
117.0,4.0,140,8,1,-1.4167133824,12.2690977902
118.0,4.0,123,7,1,0.0,13.0870376429
119.0,4.0,105,6,1,1.4167133824,12.2690977902
120.0,4.0,88,5,1,2.8334267648,13.0870376429
121.0,4.0,70,4,1,4.2501401471,12.2690977902
122.0,4.0,52,3,2,5.6668535295,11.4511579376
123.0,4.0,34,2,2,7.0835669119,10.6332180849
124.0,4.0,16,1,3,8.5002802943,9.8152782322
127.0,5.0,213,13,16,-8.5002802943,-11.4511579376
128.0,5.0,195,12,16,-7.0835669119,-12.2690977902
129.0,5.0,177,11,17,-5.6668535295,-13.0870376429
130.0,5.0,159,10,17,-4.2501401471,-13.9049774956
131.0,5.0,141,9,18,-2.8334267648,-14.7229173483
132.0,5.0,124,8,17,-1.4167133824,-13.9049774956
133.0,5.0,106,7,18,0.0,-14.7229173483
134.0,5.0,89,6,17,1.4167133824,-13.9049774956
135.0,5.0,71,5,18,2.8334267648,-14.7229173483
136.0,5.0,54,4,17,4.2501401471,-13.9049774956
138.0,5.0,37,3,17,5.6668535295,-13.0870376429
139.0,5.0,20,2,16,7.0835669119,-12.2690977902
140.0,5.0,3,1,16,8.5002802943,-11.4511579376
141.0,5.0,4,1,15,8.5002802943,-9.8152782322
142.0,5.0,5,1,14,8.5002802943,-8.1793985268
143.0,5.0,21,2,15,7.0835669119,-10.6332180849
144.0,5.0,38,3,16,5.6668535295,-11.4511579376
145.0,5.0,55,4,16,4.2501401471,-12.2690977902
146.0,5.0,72,5,17,2.8334267648,-13.0870376429
148.0,5.0,90,6,16,1.4167133824,-12.2690977902
149.0,5.0,107,7,17,0.0,-13.0870376429
150.0,5.0,125,8,16,-1.4167133824,-12.2690977902
151.0,5.0,142,9,17,-2.8334267648,-13.0870376429
152.0,5.0,160,10,16,-4.2501401471,-12.2690977902
153.0,5.0,178,11,16,-5.6668535295,-11.4511579376
154.0,5.0,196,12,15,-7.0835669119,-10.6332180849
155.0,5.0,214,13,15,-8.5002802943,-9.8152782322
156.0,5.0,215,13,14,-8.5002802943,-8.1793985268
159.0,6.0,207,12,4,-7.0835669119,7.3614586741
160.0,6.0,190,11,4,-5.6668535295,8.1793985268
161.0,6.0,173,10,3,-4.2501401471,8.9973383795
162.0,6.0,156,9,3,-2.8334267648,9.8152782322
163.0,6.0,121,7,3,0.0,9.8152782322
164.0,6.0,103,6,3,1.4167133824,8.9973383795
165.0,6.0,87,5,2,2.8334267648,11.4511579376
167.0,6.0,68,4,3,4.2501401471,8.9973383795
168.0,6.0,50,3,4,5.6668535295,8.1793985268
169.0,6.0,32,2,4,7.0835669119,7.3614586741
170.0,6.0,11,1,8,8.5002802943,1.6358797054
171.0,6.0,12,1,7,8.5002802943,3.2717594107
172.0,6.0,13,1,6,8.5002802943,4.9076391161
173.0,6.0,31,2,5,7.0835669119,5.7255789688
175.0,6.0,49,3,5,5.6668535295,6.5435188215
176.0,6.0,67,4,4,4.2501401471,7.3614586741
177.0,6.0,84,5,5,2.8334267648,6.5435188215
178.0,6.0,102,6,4,1.4167133824,7.3614586741
179.0,6.0,120,7,4,0.0,8.1793985268
180.0,6.0,138,8,3,-1.4167133824,8.9973383795
181.0,6.0,155,9,4,-2.8334267648,8.1793985268
183.0,6.0,172,10,4,-4.2501401471,7.3614586741
184.0,6.0,189,11,5,-5.6668535295,6.5435188215
185.0,6.0,206,12,5,-7.0835669119,5.7255789688
186.0,6.0,223,13,6,-8.5002802943,4.9076391161
187.0,6.0,222,13,7,-8.5002802943,3.2717594107
188.0,6.0,221,13,8,-8.5002802943,1.6358797054
191.0,7.0,92,6,14,1.4167133824,-8.9973383795
192.0,7.0,75,5,14,2.8334267648,-8.1793985268
193.0,7.0,58,4,13,4.2501401471,-7.3614586741
194.0,7.0,41,3,13,5.6668535295,-6.5435188215
195.0,7.0,24,2,12,7.0835669119,-5.7255789688
196.0,7.0,9,1,10,8.5002802943,-1.6358797054
197.0,7.0,10,1,9,8.5002802943,0.0
199.0,7.0,30,2,6,7.0835669119,4.0896992634
200.0,7.0,48,3,6,5.6668535295,4.9076391161
201.0,7.0,66,4,5,4.2501401471,5.7255789688
202.0,7.0,85,5,4,2.8334267648,8.1793985268
